group_id,GracePeriod,loanamount,Age,Married,Years_Education,HH_Size,Shock_Any,Has_Business,Homeowner
1,1,10000,42,1,6,8,1,1,1
1,1,10000,45,1,10,4,1,1,1
1,1,10000,32,1,9,3,1,1,1
1,1,10000,37,1,6,5,1,1,1
1,1,10000,34,1,9,4,1,1,1
2,1,4000,43,1,4,4,1,1,0
2,1,8000,27,1,9,3,1,1,1
2,1,8000,34,1,8,4,0,1,0
2,1,8000,30,1,6,4,0,0,1
2,1,4000,28,1,10,3,1,1,1
3,1,8000,32,1,9,5,0,1,1
3,1,8000,45,1,7,3,1,1,1
3,1,8000,37,1,10,3,0,1,1
3,1,8000,20,1,7,3,0,1,1
3,1,8000,43,1,6,6,1,1,1
4,1,10000,39,1,11,3,1,1,0
4,1,10000,41,1,10,5,1,1,0
4,1,10000,35,0,9,5,1,1,1
4,1,10000,29,1,11,8,1,0,1
4,1,10000,42,1,12,3,1,1,1
5,1,8000,30,1,11,4,1,1,1
5,1,8000,46,1,1,3,1,1,1
5,1,8000,37,1,2,2,1,0,1
5,1,6000,24,1,12,3,1,1,1
5,1,8000,32,1,12,4,1,1,1
6,0,8000,27,1,10,3,1,1,1
6,0,8000,35,1,0,5,1,0,1
6,0,8000,37,1,11,3,1,1,1
6,0,8000,49,1,0,2,1,0,1
6,0,5000,28,1,7,3,0,1,1
7,0,10000,24,1,11,5,0,0,1
7,0,10000,30,1,8,4,1,1,1
7,0,10000,36,1,8,4,1,1,1
7,0,6000,32,1,4,4,1,0,1
7,0,10000,24,1,6,4,1,1,1
8,1,8000,23,1,10,3,1,1,1
8,1,8000,19,1,8,4,1,0,1
8,1,8000,30,1,0,3,1,0,0
8,1,8000,46,1,0,5,1,1,1
8,1,8000,26,1,1,4,1,1,1
9,0,8000,40,0,8,7,0,1,1
9,0,8000,30,1,9,4,0,1,1
9,0,8000,40,1,5,3,0,0,1
9,0,8000,34,1,4,4,0,1,1
9,0,8000,30,1,5,5,0,1,1
10,0,8000,52,1,0,6,0,1,1
10,0,8000,40,1,7,3,0,1,1
10,0,8000,24,1,6,4,0,1,0
10,0,8000,32,1,3,5,0,1,1
10,0,8000,42,1,12,4,0,1,1
11,1,10000,40,1,3,5,1,1,1
11,1,10000,40,1,8,5,1,1,1
11,1,10000,26,1,12,3,1,1,1
11,1,10000,28,1,9,3,1,1,1
11,1,10000,28,1,11,3,1,1,1
12,1,8000,45,1,9,6,1,1,1
12,1,8000,49,1,12,5,0,1,0
12,1,8000,32,1,6,2,0,1,1
12,1,8000,32,1,8,5,1,1,1
12,1,8000,23,1,9,3,1,1,1
13,0,8000,41,1,11,5,1,1,1
13,0,8000,36,1,10,5,1,1,1
13,0,8000,32,1,10,6,1,1,1
13,0,8000,27,1,0,4,0,1,1
13,0,8000,32,1,7,5,1,1,1
14,1,6000,22,1,11,4,1,1,1
14,1,10000,35,1,10,6,1,1,1
14,1,10000,28,1,7,4,1,1,1
14,1,10000,42,1,0,4,1,1,1
14,1,10000,33,1,4,6,1,1,0
15,0,10000,35,1,8,4,0,1,1
15,0,6000,20,1,7,5,0,1,1
15,0,6000,48,1,10,3,0,1,1
15,0,6000,27,1,6,8,0,1,1
15,0,6000,34,0,9,4,0,1,1
16,1,10000,44,1,10,3,0,1,1
16,1,10000,46,0,4,3,0,1,1
16,1,10000,32,1,10,5,0,1,1
16,1,10000,29,1,9,3,0,1,1
16,1,8000,40,1,0,5,0,1,1
17,1,10000,34,1,6,5,0,1,1
17,1,10000,34,1,9,5,0,1,1
17,1,10000,20,1,5,9,0,1,1
17,1,10000,30,1,11,6,0,1,0
17,1,10000,51,1,0,8,0,1,1
18,0,6000,33,1,9,4,1,0,1
18,0,8000,43,1,10,3,1,1,1
18,0,8000,31,1,1,4,1,1,1
18,0,6000,23,1,4,4,1,1,1
18,0,6000,30,1,11,4,1,1,1
19,1,8000,19,0,1,4,1,1,1
19,1,8000,28,1,8,3,1,0,1
19,1,8000,24,1,9,5,1,1,1
19,1,8000,41,1,0,3,1,1,1
19,1,8000,25,1,11,3,1,1,1
20,0,6000,38,1,3,5,0,1,1
20,0,6000,32,1,9,4,0,1,1
20,0,10000,24,1,7,3,1,1,1
20,0,10000,28,1,10,4,1,1,1
20,0,10000,30,1,5,5,1,1,1
21,0,8000,25,1,9,4,1,1,1
21,0,8000,30,1,10,4,1,1,1
21,0,8000,27,1,12,3,1,1,0
21,0,8000,38,1,10,4,1,1,1
21,0,6000,40,1,6,4,1,1,1
22,0,6000,36,1,7,4,1,1,1
22,0,8000,45,1,4,5,1,1,1
22,0,5000,35,1,6,3,1,1,1
22,0,6000,39,1,0,3,1,1,1
22,0,8000,23,1,11,3,1,1,0
23,0,10000,45,0,0,4,1,0,1
23,0,10000,25,1,4,4,1,1,1
23,0,6000,32,1,0,4,0,1,1
23,0,10000,27,1,4,5,1,0,1
23,0,6000,33,1,0,7,0,1,1
24,0,5000,26,1,10,3,0,1,1
24,0,8000,46,1,3,5,1,1,1
24,0,5000,37,1,0,3,0,1,1
24,0,8000,26,1,10,4,0,1,1
24,0,8000,24,1,10,7,1,1,1
25,0,10000,28,1,6,6,1,1,1
25,0,8000,42,1,12,2,1,1,1
25,0,8000,50,0,5,1,1,1,1
25,0,8000,33,1,9,6,1,1,1
25,0,10000,24,1,10,4,1,1,1
26,0,10000,32,1,4,4,1,1,1
26,0,10000,55,1,0,5,0,1,1
26,0,10000,39,1,6,3,0,0,1
26,0,10000,20,1,5,3,1,1,1
26,0,10000,45,1,8,3,1,1,1
27,0,8000,22,1,10,3,1,1,1
27,0,6000,43,1,9,4,1,1,1
27,0,6000,58,1,10,3,1,1,1
27,0,4000,27,1,6,6,1,1,1
27,0,8000,33,1,10,4,1,1,0
28,1,8000,46,1,0,3,0,1,0
28,1,8000,21,1,7,3,0,1,0
28,1,6000,35,1,2,4,0,1,0
28,1,8000,24,1,6,4,0,1,1
28,1,8000,21,1,9,4,1,1,1
29,1,8000,39,0,1,3,1,1,0
29,1,8000,26,1,0,4,1,1,1
29,1,6000,27,1,7,4,1,1,1
29,1,8000,27,1,10,4,1,1,1
29,1,8000,49,0,1,4,1,1,1
30,1,8000,36,1,9,3,1,1,1
30,1,8000,34,1,7,5,1,1,1
30,1,6000,30,1,7,4,0,1,0
30,1,8000,25,1,8,5,0,1,1
30,1,6000,39,1,9,4,1,1,1
31,1,6000,35,1,3,4,0,0,1
31,1,6000,35,1,4,4,0,1,1
31,1,8000,40,0,12,4,0,1,1
31,1,8000,31,1,10,3,0,1,1
31,1,6000,25,1,9,4,1,0,0
32,0,8000,18,1,0,3,0,0,1
32,0,8000,45,1,3,6,0,1,1
32,0,6000,39,1,6,4,0,1,1
32,0,8000,23,1,6,4,0,1,1
32,0,8000,34,1,6,4,0,0,0
33,1,6000,40,1,4,6,1,1,1
33,1,8000,19,1,6,5,1,1,1
33,1,6000,25,1,6,8,0,1,1
33,1,6000,45,0,5,2,0,1,1
33,1,5000,32,1,0,12,1,1,1
34,1,6000,30,0,12,7,1,0,1
34,1,10000,51,1,12,4,1,1,1
34,1,6000,42,0,8,4,1,0,1
34,1,10000,22,0,3,4,1,1,0
34,1,10000,23,0,12,6,1,0,1
35,1,10000,45,1,5,7,1,1,1
35,1,10000,42,1,0,6,0,0,1
35,1,8000,25,1,8,4,1,0,1
35,1,10000,20,1,4,6,1,0,1
35,1,10000,36,1,4,4,1,0,1
36,1,8000,35,1,0,5,0,1,1
36,1,8000,36,1,0,4,0,1,1
36,1,6000,43,1,0,8,0,1,1
36,1,6000,30,1,0,4,0,1,1
36,1,6000,22,1,4,4,0,0,1
37,0,8000,37,1,0,3,1,1,1
37,0,8000,21,1,4,3,1,1,1
37,0,6000,23,1,9,3,1,1,1
37,0,8000,27,1,6,4,1,0,1
37,0,8000,38,1,5,4,1,1,1
38,1,4000,29,1,2,3,1,1,1
38,1,4000,21,1,8,4,1,1,1
38,1,5000,20,1,8,2,1,1,1
38,1,5000,41,1,0,4,1,0,1
38,1,5000,40,1,0,5,1,1,1
39,0,8000,27,1,0,5,1,1,1
39,0,5000,45,1,0,7,1,1,1
39,0,8000,31,1,0,4,1,1,1
39,0,5000,45,1,0,6,1,1,1
39,0,5000,22,1,8,4,1,1,1
40,1,6000,22,1,0,3,0,0,1
40,1,8000,21,1,9,5,1,1,1
40,1,6000,20,1,3,8,0,0,1
40,1,8000,48,0,6,2,0,1,1
40,1,6000,60,1,0,6,0,0,1
41,1,8000,25,1,3,4,1,1,1
41,1,5000,19,1,4,3,0,0,1
41,1,5000,40,1,0,7,0,0,1
41,1,8000,38,1,7,3,1,1,1
41,1,6000,19,1,9,4,0,0,1
42,1,10000,26,1,7,4,1,1,1
42,1,6000,35,0,0,2,1,1,0
42,1,10000,33,1,9,4,1,1,1
42,1,10000,36,1,8,3,1,1,1
42,1,10000,47,0,0,4,1,1,0
43,0,10000,32,1,5,5,1,1,1
43,0,6000,40,1,0,5,1,1,1
43,0,10000,48,1,4,4,1,1,1
43,0,10000,58,0,0,5,1,1,1
43,0,10000,32,1,6,6,1,1,1
44,0,10000,46,1,11,4,1,1,1
44,0,10000,56,1,12,5,1,1,1
44,0,10000,44,1,12,3,1,1,1
44,0,10000,32,1,11,3,0,1,1
44,0,10000,29,1,11,6,1,1,1
45,1,8000,41,1,8,6,0,1,1
45,1,8000,37,1,0,3,0,1,0
45,1,10000,37,1,8,4,0,1,1
45,1,10000,36,1,9,4,0,1,1
45,1,10000,37,1,11,5,0,1,1
46,0,8000,41,1,0,4,0,1,0
46,0,10000,36,1,9,3,0,1,1
46,0,10000,22,1,9,3,0,1,0
46,0,6000,23,0,10,5,0,0,0
46,0,10000,26,1,9,4,0,1,0
47,0,6000,36,1,4,6,0,1,0
47,0,10000,50,0,9,2,0,0,1
47,0,10000,26,1,3,4,0,1,1
47,0,10000,30,1,8,4,0,1,1
47,0,10000,33,1,5,4,0,1,1
48,0,8000,29,1,0,3,1,1,1
48,0,8000,34,1,2,3,1,0,1
48,0,6000,28,1,8,3,1,1,1
48,0,8000,21,1,8,4,1,1,1
48,0,8000,26,1,5,2,1,1,1
49,0,8000,27,1,9,4,1,1,1
49,0,8000,40,1,9,4,0,1,0
49,0,6000,50,1,12,4,0,0,1
49,0,6000,35,1,8,4,0,1,1
49,0,6000,28,1,7,6,0,1,1
50,0,8000,24,0,9,6,0,1,0
50,0,6000,32,1,12,4,0,1,1
50,0,6000,38,1,12,3,0,1,0
50,0,6000,55,1,3,8,0,1,1
50,0,8000,27,1,6,2,0,1,1
51,0,8000,21,0,9,5,0,1,1
51,0,8000,27,1,5,3,0,1,1
51,0,8000,30,1,7,4,0,1,1
51,0,8000,45,1,7,4,0,1,1
51,0,8000,47,1,9,4,0,1,1
52,0,6000,33,1,4,11,0,1,1
52,0,6000,45,1,0,4,0,1,0
52,0,10000,22,0,10,4,0,1,1
52,0,5000,28,1,12,4,0,0,1
52,0,6000,46,1,0,3,0,1,1
53,1,8000,25,1,4,4,0,0,1
53,1,6000,27,1,7,3,0,0,1
53,1,6000,28,1,5,4,1,1,1
53,1,6000,33,1,10,4,0,1,1
53,1,5000,27,1,9,3,0,1,1
54,1,6000,37,0,8,3,0,1,1
54,1,8000,33,1,5,2,0,1,1
54,1,8000,45,1,9,3,0,1,1
54,1,5000,21,1,10,6,0,1,1
54,1,8000,25,1,8,5,0,1,1
55,1,6000,24,1,10,2,1,0,0
55,1,6000,18,0,12,4,1,1,1
55,1,6000,30,1,8,6,0,1,1
55,1,6000,38,1,10,4,0,1,1
55,1,5000,41,1,10,5,0,1,1
56,0,6000,34,1,7,3,1,0,1
56,0,8000,40,1,1,3,1,1,1
56,0,8000,28,1,11,3,1,1,0
56,0,8000,34,1,1,3,1,1,0
56,0,6000,40,1,10,4,1,1,1
57,1,8000,31,1,11,4,0,1,1
57,1,10000,24,1,4,5,0,1,1
57,1,10000,35,1,12,3,0,1,0
57,1,10000,28,1,4,4,0,1,1
57,1,10000,32,1,0,5,0,0,1
58,1,8000,44,1,9,5,1,1,1
58,1,6000,42,1,0,4,1,1,0
58,1,8000,46,1,1,2,1,1,1
58,1,6000,30,1,10,4,1,1,1
58,1,8000,41,1,1,4,1,1,0
59,1,8000,43,1,8,3,1,1,1
59,1,8000,20,1,1,3,1,1,1
59,1,8000,41,1,0,3,1,1,1
59,1,8000,24,1,10,6,1,1,1
59,1,8000,31,0,7,4,1,1,1
60,0,8000,41,0,2,3,1,1,1
60,0,8000,31,1,1,4,1,1,1
60,0,6000,23,1,7,3,1,1,1
60,0,6000,22,1,0,6,1,1,1
60,0,6000,29,1,12,4,1,1,1
61,0,5000,30,1,5,4,1,0,1
61,0,5000,47,1,7,6,1,1,1
61,0,8000,28,1,11,3,1,1,1
61,0,6000,26,1,10,7,1,1,1
61,0,5000,35,1,3,4,0,0,1
62,0,8000,39,1,0,4,1,0,1
62,0,8000,33,1,6,4,1,1,1
62,0,8000,30,1,1,4,1,1,1
62,0,8000,32,1,1,5,1,1,1
62,0,8000,56,1,0,6,1,1,1
63,1,6000,55,1,0,8,1,1,1
63,1,8000,32,1,6,5,1,1,1
63,1,8000,52,1,0,4,1,1,1
63,1,8000,27,1,7,4,1,1,1
63,1,8000,24,0,8,4,1,1,1
64,0,8000,35,1,7,6,1,1,1
64,0,8000,43,1,1,5,1,1,0
64,0,6000,50,1,7,7,1,1,1
64,0,8000,37,1,8,4,1,1,0
64,0,6000,30,1,6,5,1,1,1
65,1,6000,35,1,7,4,0,1,1
65,1,6000,27,1,8,11,1,1,1
65,1,8000,36,1,6,4,1,1,0
65,1,6000,27,1,12,8,1,1,1
65,1,6000,45,1,0,6,1,1,1
66,1,6000,45,0,8,3,1,1,0
66,1,8000,35,1,10,4,1,1,1
66,1,8000,33,1,7,3,1,1,0
66,1,6000,35,1,9,4,1,0,1
66,1,8000,35,1,11,3,1,1,1
67,0,8000,43,1,12,3,1,1,1
67,0,6000,39,1,10,5,1,1,1
67,0,8000,45,1,6,4,0,1,1
67,0,8000,39,1,10,3,1,1,0
67,0,6000,35,0,10,3,0,1,1
68,1,5000,37,1,8,4,1,1,1
68,1,8000,29,1,10,3,1,1,1
68,1,8000,22,1,4,4,1,1,1
68,1,8000,36,1,2,3,1,1,1
68,1,5000,24,1,8,3,1,1,1
69,0,8000,22,1,1,4,1,1,1
69,0,6000,40,1,4,5,1,1,1
69,0,8000,46,1,0,2,1,1,1
69,0,6000,42,1,6,5,1,1,1
69,0,8000,26,1,10,3,1,1,1
70,1,8000,43,1,10,4,0,1,1
70,1,8000,42,1,9,4,0,1,1
70,1,8000,53,0,5,3,0,0,1
70,1,8000,30,0,0,6,0,1,1
70,1,8000,20,0,10,6,0,1,1
71,0,8000,38,1,10,4,1,1,1
71,0,8000,40,1,7,3,0,1,1
71,0,6000,35,1,9,4,0,1,1
71,0,8000,44,1,11,4,1,1,0
71,0,8000,37,1,5,5,1,1,0
72,1,6000,21,1,6,4,1,1,1
72,1,8000,27,1,10,5,1,1,1
72,1,8000,44,1,1,2,1,1,1
72,1,8000,32,1,7,4,0,1,1
72,1,8000,26,1,1,5,1,1,1
73,0,8000,36,0,5,3,1,1,1
73,0,8000,31,1,6,6,1,1,1
73,0,8000,41,1,5,3,1,1,1
73,0,8000,36,1,4,4,0,1,1
73,0,8000,41,1,10,4,1,1,1
74,1,8000,23,1,6,4,1,1,1
74,1,6000,35,1,3,6,1,1,1
74,1,6000,42,1,4,4,1,0,1
74,1,8000,29,1,5,4,1,1,1
74,1,8000,32,1,7,4,1,0,1
75,1,6000,19,1,10,3,1,1,1
75,1,8000,23,1,11,4,1,1,1
75,1,8000,26,1,1,4,1,1,1
75,1,6000,32,1,8,5,1,1,1
75,1,6000,23,1,5,4,1,0,1
76,0,8000,24,1,7,3,1,0,0
76,0,6000,26,1,8,3,1,1,0
76,0,8000,27,1,10,3,1,1,1
76,0,8000,40,1,7,5,1,1,1
76,0,6000,32,1,10,3,1,1,1
77,0,8000,20,0,5,3,1,1,1
77,0,8000,27,1,2,4,1,1,1
77,0,8000,41,1,7,4,1,1,1
77,0,8000,37,1,9,5,1,1,1
77,0,8000,43,0,1,4,1,1,1
78,1,8000,24,1,9,2,1,0,0
78,1,6000,34,0,0,4,1,1,1
78,1,6000,38,1,0,4,1,1,1
78,1,6000,23,1,10,5,1,1,1
78,1,6000,27,1,9,5,1,1,1
79,0,8000,25,1,10,3,1,1,1
79,0,8000,52,0,9,1,0,1,1
79,0,8000,41,1,9,3,1,1,1
79,0,8000,48,1,9,3,1,1,0
79,0,8000,51,0,8,1,1,1,1
80,0,5000,29,1,7,3,1,0,1
80,0,5000,45,1,7,3,1,0,1
80,0,8000,60,0,0,5,1,1,1
80,0,8000,50,1,9,6,1,0,1
80,0,6000,35,1,9,4,1,1,1
81,0,8000,31,1,9,3,1,1,1
81,0,8000,41,1,0,4,1,1,1
81,0,8000,31,1,6,4,1,1,1
81,0,8000,38,1,6,5,1,1,1
81,0,8000,51,1,0,3,1,1,1
82,1,8000,34,1,0,4,1,1,1
82,1,8000,31,1,2,4,1,0,0
82,1,8000,32,1,5,3,1,1,0
82,1,8000,35,1,5,5,1,1,1
82,1,8000,35,1,7,5,1,1,1
83,1,8000,36,0,6,7,1,1,1
83,1,8000,23,1,9,3,1,1,0
83,1,8000,35,1,2,6,0,1,0
83,1,8000,25,1,9,4,1,1,1
83,1,8000,38,1,1,4,1,1,1
84,1,8000,31,1,1,4,1,1,1
84,1,8000,31,1,0,4,1,1,1
84,1,8000,34,1,10,4,1,1,1
84,1,8000,33,1,7,4,1,1,0
84,1,8000,32,1,1,5,1,1,1
85,1,8000,28,1,1,4,1,1,1
85,1,8000,29,1,0,7,0,1,0
85,1,8000,43,0,10,2,1,1,1
85,1,8000,36,1,0,4,1,1,1
85,1,8000,34,1,9,4,1,1,1
86,0,8000,27,1,5,4,1,1,0
86,0,5000,43,1,0,4,1,0,0
86,0,8000,42,1,8,4,1,1,1
86,0,6000,44,1,11,5,1,0,1
86,0,8000,34,1,11,4,1,1,0
87,1,8000,19,0,10,4,1,0,0
87,1,8000,41,1,8,3,1,0,0
87,1,8000,41,1,10,4,1,1,1
87,1,8000,33,1,9,4,1,1,1
87,1,6000,32,1,0,4,1,1,0
88,1,8000,45,0,0,5,0,0,0
88,1,8000,31,1,7,4,1,1,1
88,1,8000,25,1,1,3,1,1,1
88,1,8000,51,1,6,4,1,1,1
88,1,8000,25,1,9,4,1,1,1
89,1,6000,25,1,12,6,1,1,1
89,1,6000,36,1,8,3,1,0,1
89,1,6000,38,1,11,2,1,1,1
89,1,6000,36,1,10,8,1,1,1
89,1,6000,45,1,10,3,1,1,1
90,1,6000,27,0,9,3,1,1,1
90,1,6000,26,1,8,4,1,1,1
90,1,6000,31,1,6,7,1,0,1
90,1,6000,26,0,10,5,1,0,1
90,1,6000,25,1,9,4,1,1,1
91,0,6000,28,1,6,5,0,1,1
91,0,6000,31,1,10,4,0,1,0
91,0,6000,39,0,0,3,0,1,1
91,0,6000,36,1,2,6,0,1,0
91,0,8000,45,0,6,2,1,1,0
92,0,6000,26,1,5,4,1,0,1
92,0,6000,45,1,9,8,0,0,1
92,0,8000,45,1,0,7,0,0,1
92,0,8000,30,1,0,5,0,1,1
92,0,6000,32,1,4,4,0,1,1
93,0,8000,40,1,8,3,0,1,1
93,0,5000,25,1,8,3,0,0,1
93,0,8000,23,1,11,6,0,0,1
93,0,8000,28,1,11,4,0,1,1
93,0,8000,30,1,12,5,0,1,1
94,0,8000,25,1,9,4,0,1,1
94,0,6000,19,0,10,2,0,1,1
94,0,6000,28,1,7,5,1,0,1
94,0,8000,32,1,10,5,0,1,1
94,0,8000,30,1,7,4,0,1,1
95,0,6000,36,0,8,1,0,1,1
95,0,6000,38,1,4,4,0,1,1
95,0,6000,23,1,9,5,0,1,1
95,0,6000,32,1,11,4,0,1,1
95,0,6000,30,1,9,4,0,1,1
96,0,8000,40,1,7,5,0,1,0
96,0,6000,26,1,8,4,0,1,1
96,0,8000,35,1,6,4,0,1,1
96,0,6000,21,1,5,5,0,1,0
96,0,8000,51,1,0,4,1,1,1
97,0,6000,39,1,5,5,1,1,1
97,0,8000,24,1,9,5,1,1,1
97,0,8000,38,1,8,4,0,1,1
97,0,8000,35,1,8,4,1,1,1
97,0,8000,33,1,4,4,1,1,1
98,0,6000,48,1,4,2,1,1,1
98,0,6000,47,0,5,3,1,1,1
98,0,6000,27,1,11,5,1,1,1
98,0,6000,45,1,10,3,0,1,1
98,0,6000,50,1,5,5,1,0,1
99,1,8000,28,1,11,4,1,1,1
99,1,8000,43,0,2,2,1,1,0
99,1,8000,26,1,0,4,1,1,0
99,1,8000,36,1,0,4,1,0,1
99,1,8000,56,1,0,6,1,1,1
100,1,8000,42,1,0,3,1,1,1
100,1,8000,45,0,8,2,1,1,1
100,1,8000,20,0,11,5,1,1,1
100,1,8000,41,1,11,8,1,1,1
100,1,8000,29,1,12,6,1,1,1
101,1,6000,40,1,8,2,0,1,1
101,1,6000,53,0,12,4,0,1,1
101,1,8000,36,0,10,5,0,1,1
