grade,ge100,ge101,size,fgpa,gender,msat,vsat,am1,am2,am3
4,2.3,3,31,3.125,Male,660,550,0,0,1
1.7,1.7,1.7,20,1.5,Male,670,700,1,0,0
2.3,2.3,2,30,2.4300001,Male,660,600,1,0,0
2.7,2.3,3.3,35,3.293,Female,610,540,1,0,0
2.7,2.7,3.7,32,2.4560001,Male,650,520,0,1,0
3.3,3.3,3.3,21,2.806,Female,650,540,0,1,0
1,2.7,2,31,2.4549999,Male,620,480,1,0,0
3,3,3.3,36,3.168,Male,620,460,0,1,0
0,2,1,24,2.145,Male,430,470,0,0,0
3,2.7,3,35,2.7,Male,610,560,0,1,0
3.3,2.7,2.7,28,3.296,Female,580,510,0,1,0
2,3.3,2.7,22,2.24,Female,640,550,1,0,0
2.7,2,2.7,18,2.9159999,Female,590,620,0,1,0
2.3,2.3,3,31,2.596,Female,550,500,1,0,0
3,4,3,33,2.6070001,Female,610,590,1,0,0
3.3,3,2,36,2.684,Male,610,610,0,1,0
4,2,2.3,31,2.1389999,Female,590,600,1,0,0
2.7,2.3,3.7,19,3.164,Female,510,520,1,0,0
2,3,1,24,1.937,Female,610,560,0,1,0
1.7,3.7,3,29,3.013,Male,730,510,1,0,0
1,2,2,32,1.976,Male,650,530,0,1,0
1.7,2,2,31,2.5550001,Male,560,500,1,0,0
1.7,2,2,27,2.2479999,Male,670,540,1,0,0
3.3,3.7,3.3,33,2.9890001,Male,690,570,0,1,0
2,2.7,2,36,2.52,Male,580,550,1,0,0
1.3,1,1.3,24,1.975,Male,600,550,0,1,0
2.3,2,2,30,2.5,Male,670,380,0,1,0
3,2.7,3,34,2.6600001,Male,580,470,0,1,0
1.3,3.3,2,27,2.852,Male,600,690,0,0,0
4,3.3,1.3,19,3.1819999,Female,540,490,0,1,0
2,3,2.7,31,3.026,Male,670,610,0,1,0
3.7,3,2.7,33,3.3099999,Female,560,570,1,0,0
1.7,3,2.3,33,2.0280001,Male,620,570,0,1,0
2.7,3.7,3,32,1.951,Male,570,560,0,1,0
3.3,3.3,3.7,27,3.175,Female,610,550,1,0,0
4,3.7,4,28,3.642,Male,750,530,0,1,0
2.7,3.7,3,32,2.596,Male,670,550,1,0,0
2,3,3,31,2.6129999,Male,710,610,0,1,0
2.7,1.3,2.3,32,2.1860001,Female,630,490,0,1,0
2,2.7,2,35,2.2679999,Male,600,510,0,0,0
3.7,2,4,32,3.003,Male,610,500,1,0,0
2.3,2,3.3,33,2.9349999,Female,640,610,0,1,0
3,2.7,2.7,28,2.9349999,Female,630,570,1,0,0
3.3,2.3,2.7,24,2.375,Male,620,550,1,0,0
3.7,2,1.7,25,2.1700001,Female,560,500,0,1,0
3.7,4,3.7,28,3.4790001,Male,680,560,1,0,0
1.7,3,3,31,2.9860001,Male,660,460,1,0,0
3.3,2,3,31,2.418,Female,570,470,0,1,0
1.3,2.3,1.7,30,2.1259999,Male,670,590,1,0,0
2.3,3,2,31,3.0999999,Female,700,520,0,1,0
3.7,4,3.3,34,3.1960001,Male,640,630,0,1,0
3,3,3,18,2.8670001,Male,670,540,0,1,0
3,2.3,3,28,2.6159999,Female,540,500,0,1,0
2,3,2.3,31,2.7920001,Male,650,510,1,0,0
2.3,2,2,32,2.2190001,Female,660,620,1,0,0
2.7,3,2.7,31,2.8410001,Male,580,530,0,0,0
2.7,2,2,24,2.95,Male,640,490,1,0,0
4,1.7,2,36,2.2,Male,600,500,1,0,0
1.7,2,3,31,2.2609999,Female,590,670,1,0,0
3,2,2.3,31,2.2119999,Male,640,500,1,0,0
3,4,2,28,3.165,Female,550,550,1,0,0
1.7,3,2.7,29,3.253,Male,600,530,0,0,0
2.7,2.7,3,28,3.1129999,Male,630,470,1,0,0
1,2.3,1.7,35,2.415,Female,590,550,1,0,0
2.3,3,2.7,28,2.4030001,Male,590,570,1,0,0
2.3,2,1.7,36,2.543,Female,600,450,0,1,0
3,2.3,3,31,2.668,Male,670,500,0,1,0
3,2.7,2,27,2.211,Female,640,550,1,0,0
3,3,3.7,31,2.29,Female,650,590,1,0,0
4,2.7,2,24,2.931,Male,660,590,1,0,0
3.7,1.7,2.3,32,2.0739999,Male,530,560,0,1,0
2.7,2.3,2.7,35,2.6689999,Male,640,560,1,0,0
2.3,2,1.7,18,2.7850001,Female,600,500,1,0,0
3,2.7,2.3,32,2.6259999,Male,640,560,1,0,0
2,2.7,3,27,2.569,Male,680,630,0,1,0
2,2,2,30,1.961,Female,560,580,1,0,0
3.7,3,4,31,3.4549999,Female,620,620,0,1,0
3,2.7,3,32,3.0439999,Male,550,600,1,0,0
2.7,2,2,29,2.5,Male,660,580,0,1,0
4,2,2,27,2.2390001,Male,630,550,0,1,0
4,2.7,3.7,21,3.527,Male,670,700,1,0,0
2,2,2,31,2.2460001,Female,570,550,0,1,0
3,3,3,32,2.8599999,Male,660,590,0,1,0
2,2.7,2,27,2.1960001,Female,660,570,1,0,0
2.7,2,2,31,2.934,Female,710,620,0,1,0
3.3,3,4,34,3.0350001,Male,630,490,0,0,1
2.3,3.3,3.7,24,2.6400001,Male,690,580,0,1,0
1.7,3,3,29,3.086,Male,560,520,0,1,0
2,2.3,1.7,26,2.2190001,Male,690,610,0,1,0
4,4,4,31,3.6889999,Male,710,520,0,1,0
4,2.3,2,36,1.988,Female,640,600,0,1,0
4,3.7,4,31,3.648,Female,610,640,1,0,0
3.3,3,2.7,22,2.539,Male,620,550,0,1,0
3,2,3,34,2.4030001,Female,560,510,1,0,0
4,2.7,3.7,35,2.8610001,Female,720,500,0,1,0
2.7,3,2,36,2.46,Male,660,460,0,1,0
3,2.3,2,26,2.6259999,Male,670,670,0,1,0
3.7,4,3,32,3.276,Female,780,740,0,1,0
2.3,2.3,3,25,2.8239999,Male,640,490,1,0,0
3.3,3,3,31,3.2460001,Female,630,450,0,1,0
2.7,2.3,2,29,2.316,Male,600,520,0,1,0
2,2,2,27,2.6860001,Male,530,530,0,1,0
3,2.7,2.7,19,2.55,Male,620,640,0,1,0
4,2.3,3,17,2.76,Female,660,650,1,0,0
3.7,4,4,31,2.973,Male,740,760,0,0,0
2.7,2.7,3,28,3.21,Male,640,590,0,1,0
1.7,2,2.3,24,2.4230001,Male,730,600,0,1,0
4,3.7,3,31,3.2249999,Female,600,490,1,0,0
3.3,3,2.7,32,2.9820001,Male,740,550,1,0,0
2,3,2.3,31,2.868,Male,600,580,1,0,0
2,2.3,2,39,2.448,Male,680,540,1,0,0
2.3,2,3,32,2.0999999,Male,650,560,0,0,0
3,2,1.7,27,2.576,Female,570,530,1,0,0
1.3,2,3,27,2.3139999,Female,620,550,0,0,0
1.7,3.7,2.3,19,2.75,Male,720,530,0,1,0
2.7,1,2.7,24,2.2620001,Male,560,600,1,0,0
3.3,4,4,27,3.803,Female,640,600,1,0,0
3,2.3,2.3,32,2.29,Male,620,570,0,1,0
2.3,4,3.3,31,3.1070001,Male,710,570,0,1,0
2.3,2.3,1.7,21,1.934,Male,580,500,1,0,0
3,2.7,2,31,2.595,Male,720,660,0,0,1
2.7,4,3.7,24,3.03,Male,650,570,1,0,0
2.7,1.3,3,31,2.23,Female,620,540,0,1,0
3,2.7,3.3,31,2.5439999,Female,580,520,0,1,0
2.3,2,3,19,3,Female,660,640,0,1,0
3,2,2,31,2.835,Female,580,520,0,1,0
0,2,1.3,33,2.8310001,Male,510,470,0,1,0
0,3.7,2.7,31,2.234,Female,550,600,0,1,0
2.7,3.7,3.3,32,2.47,Male,620,660,0,1,0
3.7,4,3.7,34,3.7690001,Female,620,670,0,1,0
0,2.3,2.3,33,2.6559999,Female,550,480,1,0,0
2,2,1,20,1.96,Male,660,520,1,0,0
.69999999,1.7,1.7,32,3.2079999,Female,650,530,0,1,0
2.3,2,2.7,28,2.934,Female,570,610,1,0,0
2.3,2,2,29,2.783,Male,680,530,0,0,1
2.3,2.7,1.7,23,2.28,Male,650,610,1,0,0
2.3,3,1.7,17,1.7,Male,640,680,0,1,0
0,2,2,36,1.8049999,Female,540,550,1,0,0
2.7,2.3,3.7,39,2.48,Female,620,550,0,1,0
4,3.7,3,21,3.1329999,Male,460,610,1,0,0
3.3,3,2.7,31,2.8,Male,560,580,0,1,0
4,3.3,3.3,36,3.4530001,Female,590,550,0,1,0
4,4,3.3,31,3.6340001,Male,640,550,1,0,0
1.7,2.3,3.7,33,2.6619999,Male,620,600,1,0,0
1.7,1.7,1.7,18,2.1600001,Male,600,670,0,1,0
2,2,1.7,28,3.21,Female,590,520,0,1,0
2.3,2.7,2.7,32,2.7309999,Male,600,510,0,1,0
4,3.7,3.3,19,3.5899999,Female,630,520,0,1,0
2,3,1.7,33,2.592,Male,640,600,1,0,0
0,2,2,21,2.6210001,Male,630,500,0,1,0
1.3,2,1,31,2.4849999,Male,710,560,1,0,0
2,3,1.7,24,3.1370001,Female,620,600,0,1,0
2.7,3,3.3,22,3.0409999,Female,710,660,1,0,0
.69999999,1.3,3,31,2.5239999,Female,590,580,0,1,0
3.7,2.3,4,25,3.033,Female,690,640,0,1,0
1.7,3.3,3,29,2.6199999,Male,660,570,1,0,0
3.3,3,2,22,3.24,Male,610,560,0,1,0
2,4,3,22,3.023,Female,650,620,0,1,0
3,3,2.7,27,2.9690001,Female,580,560,0,1,0
3.3,2,2.3,34,2.2320001,Male,610,460,1,0,0
4,4,3.7,31,3.71,Female,600,540,0,1,0
3.7,3,2.7,31,3.2,Female,640,510,0,1,0
2,2.3,2,39,2.8110001,Male,670,490,1,0,0
2,2,2,20,1.973,Male,590,540,0,1,0
3,2,2,32,2.6059999,Male,650,520,1,0,0
4,3.3,4,39,3.4260001,Male,790,640,0,1,0
3,2,1,34,2.02,Male,480,540,1,0,0
2,1.7,2,28,2.303,Male,590,490,0,1,0
1,2,2.3,32,2,Male,660,690,1,0,0
3,3,3,34,2.675,Male,660,590,1,0,0
