Date,DayInData,DayOfWeek,Month,NumberOfLunchSales,Weekend,HighSeason,NumberOfOpenCompetitors,PrecipitationMm,LunchtimeTemperatureCelsius,HumidityPct
2018-02-14,1,Wednesday,2,107,0,0,47,0,28,66.75
2018-02-15,2,Thursday,2,123,0,0,7,0,28.6,61.5
2018-02-16,3,Friday,2,104,0,0,7,0,30.6,65.25
2018-02-17,4,Saturday,2,138,1,0,7,0,31.5,65.75
2018-02-18,5,Sunday,2,149,1,0,7,0,33.400002,58.5
2018-02-19,6,Monday,2,95,0,0,7,0,29,75.25
2018-02-20,7,Tuesday,2,84,0,0,7,3.3,26.1,91.75
2018-02-21,8,Wednesday,2,80,0,0,7,27,29.200001,82.75
2018-02-22,9,Thursday,2,103,0,0,7,15,27.799999,73.75
2018-02-23,10,Friday,2,113,0,0,7,0,28.799999,73.5
2018-02-26,11,Monday,2,120,0,0,8,0,29.799999,74
2018-02-27,12,Tuesday,2,119,0,0,8,0,30.5,85.25
2018-02-28,13,Wednesday,2,88,0,0,8,26.4,29.4,81.5
2018-03-01,14,Thursday,3,86,0,1,8,0,31,82.5
2018-03-02,15,Friday,3,84,0,1,8,0,30.4,75.75
2018-03-03,16,Saturday,3,97,1,1,8,0,29.799999,74
2018-03-04,17,Sunday,3,102,1,1,8,0,32.799999,80.25
2018-03-05,18,Monday,3,80,0,1,8,8.1999998,31.5,79.5
2018-03-06,19,Tuesday,3,88,0,1,8,0,28.200001,85
2018-03-07,20,Wednesday,3,116,0,1,8,.69999999,26.700001,63
2018-03-08,21,Thursday,3,121,0,1,8,0,28.1,69
2018-03-09,22,Friday,3,132,0,1,8,0,27.799999,76.75
2018-03-10,23,Saturday,3,100,1,1,8,0,33.299999,70.75
2018-03-11,24,Sunday,3,114,1,1,8,0,34.700001,63.25
2018-03-12,25,Monday,3,116,0,1,8,7.5,25.4,63.75
2018-03-13,26,Tuesday,3,129,0,1,8,0,28.799999,58
2018-03-14,27,Wednesday,3,149,0,1,8,0,32.599998,61.5
2018-03-15,28,Thursday,3,94,0,1,8,33.299999,27.299999,79.25
2018-03-16,29,Friday,3,109,0,1,8,1.9,27.299999,65.75
2018-03-17,30,Saturday,3,136,1,1,8,0,33,72.75
2018-03-18,31,Sunday,3,127,1,1,8,0,36.400002,63.75
2018-03-19,32,Monday,3,117,0,1,8,7.5,29,74
2018-03-20,33,Tuesday,3,126,0,1,8,4.4000001,22.6,84
2018-03-21,34,Wednesday,3,130,0,1,8,2,24.799999,76
2018-03-22,35,Thursday,3,148,0,1,8,0,26,63.75
2018-03-23,36,Friday,3,114,0,1,8,0,33.099998,70
2018-03-24,37,Saturday,3,138,1,1,8,0,29.200001,91.25
2018-03-25,38,Sunday,3,141,1,1,8,26.9,24.1,78.5
2018-03-26,39,Monday,3,133,0,1,8,3.2,22.799999,87
2018-03-27,40,Tuesday,3,103,0,1,8,.60000002,22.9,89.75
2018-03-28,41,Wednesday,3,106,0,1,8,.80000001,27.1,88
2018-03-29,42,Thursday,3,91,0,1,8,0,26.9,88.5
2018-03-31,43,Saturday,3,83,1,1,8,0,24.4,94.5
2018-04-01,44,Sunday,4,98,1,1,8,18.6,26,91.25
2018-04-02,45,Monday,4,109,0,1,8,6.4000001,23.4,90.75
2018-04-03,46,Tuesday,4,112,0,1,8,22.799999,26.799999,84.25
2018-04-04,47,Wednesday,4,121,0,1,8,1.4,27.200001,87
2018-04-05,48,Thursday,4,129,0,1,8,.2,27.799999,79.75
2018-04-06,49,Friday,4,134,0,1,8,0,28.799999,81
2018-04-07,50,Saturday,4,119,1,1,8,0,30.4,74
2018-04-08,51,Sunday,4,85,1,1,8,0,30,78.25
2018-04-09,52,Monday,4,106,0,1,8,0,31.5,76
2018-04-10,53,Tuesday,4,108,0,1,8,0,31.9,72.25
2018-04-11,54,Wednesday,4,98,0,1,8,0,33.900002,64.75
2018-04-12,55,Thursday,4,110,0,1,8,0,33.700001,61.25
2018-04-13,56,Friday,4,111,0,1,8,5.4000001,27.6,83.75
2018-04-14,57,Saturday,4,101,1,1,8,.2,22.200001,75.75
2018-04-15,58,Sunday,4,86,1,1,8,0,26,73.25
2018-04-16,59,Monday,4,109,0,1,8,0,26.6,69.25
2018-04-17,60,Tuesday,4,129,0,1,8,0,28.4,70.5
2018-04-18,61,Wednesday,4,105,0,1,8,0,29.799999,64.5
2018-04-19,62,Thursday,4,115,0,1,8,0,31,67.25
2018-04-20,63,Friday,4,125,0,1,8,0,32.099998,64.25
2018-04-21,64,Saturday,4,66,1,1,8,20.200001,25.700001,91
2018-04-22,65,Sunday,4,75,1,1,8,7.5,30.200001,79.75
2018-04-23,66,Monday,4,89,0,1,8,0,30.9,75
2018-04-24,67,Tuesday,4,106,0,1,8,0,28.5,84.25
2018-04-25,68,Wednesday,4,100,0,1,8,0,30.5,78.25
2018-04-26,69,Thursday,4,111,0,1,8,0,28,87.5
2018-04-27,70,Friday,4,99,0,1,8,0,29,78.5
2018-04-28,71,Saturday,4,76,1,1,8,0,31.9,72.25
2018-04-29,72,Sunday,4,80,1,1,8,0,31.6,74.25
2018-04-30,73,Monday,4,76,0,1,8,20.6,27.200001,82.25
