bookid,flight,departuredate,month,day,year,destination,origin,noshow,daystodep,mileageplus,assignedseat,numberinparty,eticketed,bookingcountry,upline,downline,modifycount,bookingclass,dow,rand
070501AJY3511296,360,1-May-07,5,1,2007,IAD,ORD,0,30,M,Y,1,1,US,1,0,0,L,2,.22241804
070501AKV351438,360,1-May-07,5,1,2007,IAD,ORD,0,12,J,Y,1,1,US,0,0,1,V,2,.49265847
070501ATC3513636,360,1-May-07,5,1,2007,IAD,ORD,0,40,,N,3,0,CN,1,0,1,V,2,.67761594
070501BAT3516504,360,1-May-07,5,1,2007,IAD,ORD,0,7,,N,1,1,,0,0,0,L,2,.88085359
070501BBV35112885,360,1-May-07,5,1,2007,IAD,ORD,0,46,,Y,1,1,US,1,0,0,XY,2,.18610775
070501BFO35112417,360,1-May-07,5,1,2007,IAD,ORD,0,19,,Y,1,1,US,0,0,0,L,2,.27706409
070501BMW3516246,360,1-May-07,5,1,2007,IAD,ORD,0,12,,Y,1,1,MX,1,0,0,V,2,.35947454
070501BYR35118,360,1-May-07,5,1,2007,IAD,ORD,1,13,,Y,1,0,MX,0,0,1,V,2,.20329201
070501CDB3516348,360,1-May-07,5,1,2007,IAD,ORD,0,20,,Y,1,1,US,0,0,0,L,2,.15394047
070501CNX3511533,360,1-May-07,5,1,2007,IAD,ORD,0,75,,Y,2,1,US,1,1,4,XY,2,.22055335
070501CQC35110245,360,1-May-07,5,1,2007,IAD,ORD,0,14,O,Y,1,1,US,0,0,0,L,2,.82174706
070501CRM3512307,360,1-May-07,5,1,2007,IAD,ORD,0,48,M,Y,1,1,US,0,0,1,L,2,.76962692
070501CWC3512331,360,1-May-07,5,1,2007,IAD,ORD,0,11,M,Y,1,1,US,0,0,1,L,2,.19656558
070501DBZ3518556,360,1-May-07,5,1,2007,IAD,ORD,1,7,,Y,1,0,US,0,0,0,L,2,.73470503
070501DIC3515262,360,1-May-07,5,1,2007,IAD,ORD,0,15,M,Y,1,1,US,0,0,1,L,2,.75071341
070501DJQ3517707,360,1-May-07,5,1,2007,IAD,ORD,0,8,M,Y,1,1,US,0,0,2,L,2,.49168214
070501DNS3516552,360,1-May-07,5,1,2007,IAD,ORD,0,18,M,Y,1,1,US,1,0,0,L,2,.64603043
070501DXB3512409,360,1-May-07,5,1,2007,IAD,ORD,1,7,,Y,1,0,MX,1,0,0,E,2,.43144304
070501EAS3517017,360,1-May-07,5,1,2007,IAD,ORD,1,151,,Y,1,0,US,1,0,1,S,2,.83194357
070501EFR3512361,360,1-May-07,5,1,2007,IAD,ORD,1,14,,N,1,0,US,0,1,1,V,2,.40082198
070501EMZ3516501,360,1-May-07,5,1,2007,IAD,ORD,0,9,,Y,3,1,US,0,0,0,L,2,.2098773
070501EQF3511206,360,1-May-07,5,1,2007,IAD,ORD,0,14,B,Y,1,1,US,0,0,0,L,2,.64340073
070501EWE3517128,360,1-May-07,5,1,2007,IAD,ORD,0,40,M,N,1,1,US,1,0,0,T,2,.658476
070501FHN35110731,360,1-May-07,5,1,2007,IAD,ORD,0,17,M,Y,2,1,US,0,0,1,L,2,.69531447
070501FMS35112393,360,1-May-07,5,1,2007,IAD,ORD,0,91,,N,2,1,DK,0,0,1,L,2,.13872381
070501GEA3515391,360,1-May-07,5,1,2007,IAD,ORD,0,14,B,Y,1,1,US,0,0,0,A,2,.70735931
070501GGU3512538,360,1-May-07,5,1,2007,IAD,ORD,0,15,,Y,1,1,US,0,0,1,F,2,.14045954
070501GLP3513021,360,1-May-07,5,1,2007,IAD,ORD,0,27,M,Y,2,1,US,0,0,1,L,2,.059821393
070501HIT3511173,360,1-May-07,5,1,2007,IAD,ORD,0,55,,Y,3,0,US,1,1,1,V,2,.66236413
070501HYA3512979,360,1-May-07,5,1,2007,IAD,ORD,0,56,M,Y,1,1,US,0,0,1,L,2,.27658421
070501IHT3517095,360,1-May-07,5,1,2007,IAD,ORD,0,20,,N,1,1,US,0,1,0,L,2,.6085726
070501JBQ3516513,360,1-May-07,5,1,2007,IAD,ORD,0,32,,Y,1,0,US,1,1,1,W,2,.21269123
070501JDZ351363,360,1-May-07,5,1,2007,IAD,ORD,0,101,,Y,1,0,US,0,1,3,W,2,.46300733
070501JHX35113269,360,1-May-07,5,1,2007,IAD,ORD,0,35,,Y,2,1,US,1,0,1,S,2,.33144593
070501JPW3516849,360,1-May-07,5,1,2007,IAD,ORD,0,47,B,Y,1,1,US,1,0,1,V,2,.16686442
